Depth,Age,d18O,Ref,,Depth,Age,UK37,Ref,,Depth,Age,MgCa,Ref,,Depth,Age,Benthic_d18O,Ref
373,178.9,-1.42,,,21.158,1030,0.989,,,373,178.9,3.25,,,10.98,,3.06,
378,180.4,-1.58,,,21.277,1035,0.983,,,378,180.4,3.5,,,11.09,,3.28,
383,182,-1.13,,,21.395,1040,0.994,,,383,182,3.28,,,11.19,,3.13,
388,184,-1.34,,,21.514,1045,,,,388,184,3.41,,,11.29,,3.69,
393,186,-1.57,,,21.632,1050,0.991,,,393,186,3.39,,,11.39,,3.55,
398,188.3,-1.81,,,22.112,1070,,,,398,188.3,3.3,,,11.49,,3.65,
403,190.5,-1.84,,,22.232,1075,0.976,,,403,190.5,3.74,,,11.59,,3.42,
408,192.8,-1.79,,,22.352,1080,,,,408,192.8,3.56,,,11.69,,3.35,
413,195,-1.88,,,22.472,1085,0.980,,,413,195,3.65,,,11.79,,3.19,
418,197.3,-1.76,,,22.592,1090,,,,418,197.3,3.82,,,11.89,,2.96,
453,213.7,-1.76,,,22.682,1095,0.997,,,453,213.7,3.93,,,11.99,,2.94,
458,216,-1.92,,,22.773,1100,,,,458,216,4.05,,,12.08,,2.95,
463,219.8,-1.33,,,22.863,1105,,,,463,219.8,3.87,,,12.19,,2.47,
468,223.5,-1.42,,,22.954,1110,0.992,,,468,223.5,3.66,,,12.29,,2.68,
474,228,-1.39,,,23.044,1115,0.992,,,474,228,3.11,,,12.39,,3.16,
478,229.4,-1.4,,,23.135,1120,0.994,,,478,229.4,3.28,,,12.59,,3.49,
484,231.4,-1.61,,,23.225,1125,,,,484,231.4,3.56,,,12.69,,3.34,
488,232.8,-1.71,,,23.316,1130,0.986,,,488,232.8,3.37,,,12.79,,3.03,
494,234.9,-1.86,,,23.406,1135,0.999,,,494,234.9,3.75,,,12.89,,2.96,
498,236.3,-1.82,,,23.497,1140,,,,498,236.3,3.77,,,12.99,,3.21,
503,238,-1.99,,,23.575,1145,,,,503,238,3.66,,,13.09,,2.85,
508,240.3,-1.85,,,23.652,1150,,,,508,240.3,3.89,,,13.19,,3.09,
513,242.7,-1.69,,,23.73,1155,,,,513,242.7,3.91,,,13.29,,2.98,
518,245,-1.7,,,23.808,1160,0.985,,,518,245,4.1,,,13.39,,2.61,
523,245.8,-1.54,,,23.885,1165,0.987,,,523,245.8,3.94,,,13.49,,3.78,
528,246.7,-1.47,,,23.963,1170,0.994,,,528,246.7,3.32,,,13.58,,4.19,
533,247.5,-1.45,,,24.041,1175,0.997,,,533,247.5,3.5,,,13.69,,3.64,
538,248.3,-1.41,,,24.118,1180,,,,538,248.3,3.26,,,13.79,,4.14,
543,249.2,-1.43,,,24.196,1185,0.995,,,543,249.2,3.42,,,13.89,,3.92,
548,250,-1.32,,,24.273,1190,,,,548,250,3.32,,,13.98,,3.72,
553,251.2,-1.53,,,24.351,1195,0.992,,,553,251.2,3.33,,,,,,
558,252.3,-1.17,,,24.429,1200,0.999,,,558,252.3,3.46,,,,,,
564,253.7,-1.34,,,24.524,1205,,,,564,253.7,3.53,,,,,,
568,254.7,-1.31,,,24.811,1220,0.998,,,568,254.7,3.28,,,,,,
573,255.8,-1.26,,,24.906,1225,,,,573,255.8,3.12,,,,,,
578,257,-1.58,,,25.001,1230,,,,578,257,3.31,,,,,,
583,259.4,-1.39,,,25.097,1235,,,,583,259.4,3.27,,,,,,
588,261.8,-1.51,,,25.192,1240,0.998,,,588,261.8,3.14,,,,,,
593,264.2,-1.53,,,25.287,1245,0.992,,,593,264.2,3.4,,,,,,
598,266.6,-1.65,,,25.383,1250,0.994,,,598,266.6,3.39,,,,,,
603,269,-1.35,,,25.478,1255,0.994,,,603,269,3.32,,,,,,
608,273.5,-1.35,,,25.574,1260,,,,608,273.5,3.16,,,,,,
613,278,-1.41,,,25.669,1265,,,,613,278,3.53,,,,,,
618,282.5,-1.37,,,25.764,1270,,,,618,282.5,3.65,,,,,,
623,287,-1.69,,,25.88,1275,,,,623,287,4.01,,,,,,
628,289,-1.59,,,25.955,1280,,,,628,289,3.57,,,,,,
653,299,-1.54,,,26.071,1285,,,,653,299,3.89,,,,,,
658,302.7,-1.85,,,26.168,1290,,,,658,302.7,3.66,,,,,,
663,306.3,-1.86,,,26.264,1295,0.979,,,663,306.3,3.64,,,,,,
668,310,-2.01,,,26.361,1300,0.990,,,668,310,3.43,,,,,,
673,313.8,-1.91,,,26.457,1305,0.986,,,673,313.8,3.92,,,,,,
678,317.6,-1.68,,,26.554,1310,,,,678,317.6,3.66,,,,,,
683,321.5,-1.78,,,26.651,1315,0.992,,,683,321.5,3.74,,,,,,
688,325.3,-1.75,,,26.747,1320,,,,688,325.3,3.95,,,,,,
693,329.1,-1.67,,,26.844,1325,,,,693,329.1,3.79,,,,,,
698,335,-1.8,,,26.94,1330,0.998,,,698,335,3.8,,,,,,
703,343,-1.14,,,27.037,1335,0.987,,,703,343,3.53,,,,,,
708,345.3,-1.23,,,27.133,1340,,,,708,345.3,3.2,,,,,,
713,347.5,-1.25,,,27.22,1345,0.978,,,713,347.5,3.25,,,,,,
718,349.8,-1.27,,,27.423,1355,0.992,,,718,349.8,3.59,,,,,,
723,352,-1.04,,,27.616,1365,,,,723,352,3.05,,,,,,
728,353.6,-1.05,,,27.713,1370,,,,728,353.6,2.92,,,,,,
733,355.2,-1.19,,,27.809,1375,,,,733,355.2,3.08,,,,,,
743,358.4,-1.41,,,27.914,1380,0.995,,,743,358.4,3.29,,,,,,
748,360,-1.29,,,28.019,1385,0.992,,,748,360,3.07,,,,,,
758,363.2,-1.47,,,28.124,1390,,,,758,363.2,2.89,,,,,,
763,364.8,-1.43,,,28.229,1395,0.987,,,763,364.8,2.9,,,,,,
768,366.4,-1.57,,,28.334,1400,0.991,,,768,366.4,3.01,,,,,,
773,368,-1.63,,,28.439,1405,,,,773,368,2.85,,,,,,
778,371.5,-1.57,,,28.544,1410,,,,778,371.5,3.05,,,,,,
783,375,-1.42,,,28.65,1415,0.995,,,783,375,3.49,,,,,,
788,378,-1.54,,,28.755,1420,0.998,,,788,378,3.29,,,,,,
793,381,-1.69,,,28.869,1425,,,,793,381,3.6,,,,,,
798,384,-1.67,,,28.984,1430,,,,798,384,3.54,,,,,,
802,386.4,-1.75,,,29.098,1435,0.982,,,802,386.4,3.38,,,,,,
808,390,-1.7,,,29.212,1440,0.987,,,808,390,3.54,,,,,,
818,396,#N/A,,,29.327,1445,,,,818,396,3.91,,,,,,
822,398.4,-1.85,,,29.441,1450,0.998,,,822,398.4,4.11,,,,,,
828,402,-2.21,,,29.555,1455,,,,828,402,4.25,,,,,,
833,405,-2.41,,,29.67,1460,,,,833,405,4.26,,,,,,
838,407,-2,,,29.779,1465,0.989,,,838,407,4.26,,,,,,
848,411.1,-2.12,,,29.889,1470,0.995,,,848,411.1,4.38,,,,,,
852,412.8,-2.06,,,29.998,1475,,,,852,412.8,4.48,,,,,,
857,414.8,-1.91,,,30.108,1480,0.994,,,857,414.8,4.43,,,,,,
863,417.3,-1.92,,,30.217,1485,0.995,,,863,417.3,4.06,,,,,,
868,419.3,-1.67,,,30.326,1490,,,,868,419.3,4.07,,,,,,
877,423,-1.49,,,30.435,1495,,,,877,423,3.99,,,,,,
882,425.1,-1.25,,,30.545,1500,,,,882,425.1,3.92,,,,,,
888,427.7,-0.77,,,,,,,,888,427.7,3.85,,,,,,
895,430.7,-0.75,,,,,,,,895,430.7,3.26,,,,,,
899,432.4,-0.77,,,,,,,,899,432.4,3.29,,,,,,
905,435,-0.44,,,,,,,,905,435,3.41,,,,,,
908,438.4,-0.75,,,,,,,,908,438.4,3.24,,,,,,
912,443,-1.1,,,,,,,,912,443,3.61,,,,,,
918,446.6,-0.99,,,,,,,,918,446.6,3.17,,,,,,
922,449,-1.03,,,,,,,,922,449,3.16,,,,,,
928,452.6,-1.12,,,,,,,,928,452.6,3.03,,,,,,
935,456.8,-1.25,,,,,,,,935,456.8,3.29,,,,,,
942,461,-1.45,,,,,,,,942,461,3.12,,,,,,
947,470,-1.24,,,,,,,,947,470,3.16,,,,,,
